,productname,nutriscorescore,nutriscoregrade,energy100g,saturatedfat100g,sugars100g,fiber100g,proteins100g,sodium100g,our_score
240,Pétale Grana Padano,15,d,1665,18.0,0.0,0.0,33.0,0.6,12.4
241,Pétales de maïs sucré,14,d,1602,0.1,25.0,0.0,6.0,0.5,13.4
242,Déliform Chocolat Noir,12,d,1707,3.9,23.0,3.8,7.4,0.32,13.4
243,Pétales de riz et de blé complet avec copeaux de Chocolat Noir,13,d,1710,3.67,25.7,3.67,8.33,0.333,14.0
244,Kellogg's Frosted Flakes,11,d,1586,0.0,34.48,0.0,1.0,0.06,14.2
245,Sugar Flakes,12,d,1577,0.2,28.0,3.5,6.0,0.52,13.4
246,Parmigiano Reggiano Pétales,16,d,1640,20.0,0.0,0.0,32.0,0.64,12.4
247,Fruits & fibres,11,d,1665,5.0,23.0,9.0,9.0,0.36,10.8
248,Pétales de panais au romarin,16,d,2226,4.2,29.7,0.0,3.7,0.0,12.8
249,Pétales salés,17,d,2029,2.0,1.0,0.0,3.6,0.96,12.4
250,Noir cranberries céréales,18,d,2264,23.0,32.0,9.0,7.3,0.0268,10.2
251,Pétales de riz blé complet & orge chocolat,16,d,1732,4.2,21.0,0.0,5.8,0.28,11.8
252,Pétales Maïs glacés au sucre,13,d,1602,0.4,35.0,3.3,5.5,0.508,13.0
253,Pétales de maïs sucrés,15,d,1611,0.2,28.0,0.0,6.0,0.520192,12.4
254,Choco Corn Flakes,17,d,1695,3.6,25.7,4.0,6.3,0.8,11.2
255,Pétales de blé au chocolat,11,d,1619,1.2,27.0,0.0,9.3,0.12,13.8
256,Pétales soufflés croquants,13,d,2046,2.0,1.0,4.0,3.5,0.96,13.4
257,Grana Padano 28 % En Pétales,15,d,1665,18.0,0.0,0.0,33.0,0.6,12.4
258,Pétales de maïs glacés au sucre,12,d,1611,0.2,28.2,3.5,6.0,0.52,13.4
259,Pétales de Céleri,13,d,2151,4.2,12.5,0.0,5.8,0.32,12.4
260,Snow flakes,11,d,1648,0.4,30.0,2.6,6.2,0.3,14.2
261,Petales ondulés poivre & sel,17,d,2188,3.0,2.9,0.0,4.2,0.88,10.4
262,Pétales salés,14,d,2029,2.1,0.5,4.0,3.5,0.96,13.4
263,Pétales Salés,17,d,2042,1.9,0.5,0.0,3.3,1.308,11.1
264,Pétales Cereales Chocolat Noir,11,d,1715,4.1,22.0,5.0,7.6,0.32,13.6
265,Pétales de Céréales & Chocolat,12,d,1686,3.1,25.0,3.8,7.7,0.32,13.4
266,Pétales 3 céréales chocolat au lait,12,d,1686,3.1,25.0,3.8,7.7,0.32,13.4
267,Tete De Moine Petales,18,d,1678,20.0,0.1,0.0,25.0,0.76,10.2
268,Grana Padano En Pétale 80 GR LS,15,d,1665,18.0,0.0,0.0,33.0,0.6,12.4
269,Pétales Jambon Serrano,14,d,874,2.9,0.5,0.0,34.0,2.2,13.6
270,Cracker Crisps Paprika (60 % de matières grasses en moins),11,d,1712,1.5,5.0,7.0,5.0,0.82,13.6
271,Pétales Sucrés Céréales et Lait,17,d,1761,5.6,35.0,3.6,5.7,0.292,8.8
272,Barres riz & blé complet Fruits rouges,14,d,1599,0.7,37.0,2.1,6.9,0.43688,10.3
273,Pétales copeaux de chocolat,12,d,1728,3.9,23.0,3.9,8.8,0.36,14.0
274,Pétale de Maïs,11,d,1634,0.2,5.7,3.4,8.5,0.88,13.8
275,Pétales salés,13,d,2029,2.0,1.0,4.1,3.6,0.972,12.1
276,Forme & Chocolat au Lait,14,d,1761,4.0,19.5,0.0,7.6,0.24,12.8
277,Pétales de Coco,15,d,2427,46.0,23.0,14.0,5.1,0.56,9.0
278,Pétales de jambon de Vendée PETITGAS,16,d,900,4.4,0.5,0.0,25.0,1.64,10.8
